Best,Latest,BestFull,LatestFull,Validation
36.5,36.5,0.0,0.0,70.98961060833444
36.5,36.5,0.0,0.0,66.88571450443833
36.5,36.5,0.0,0.0,68.31428593300976
36.5,36.5,0.0,0.0,67.74285736158119
36.5,36.5,0.0,0.0,69.17142879015262
37.92666666666666,37.93666666666666,0.0,0.0,67.04964893066784
37.92666666666666,36.5,0.0,0.0,68.31428593300976
37.92666666666666,36.5,0.0,0.0,67.74285736158119
37.92666666666666,36.559999999999995,0.0,0.0,69.17142879015262
37.92666666666666,37.653333333333336,0.0,0.0,66.88571450443833
37.92666666666666,37.553333333333335,0.0,0.0,68.35175665900508
37.92666666666666,36.934999999999995,0.0,0.0,64.0988292585367
37.92666666666666,37.773333333333326,0.0,0.0,68.67962551146408
38.91916666666667,38.72583333333333,0.0,0.0,68.35175665900508
38.91916666666667,37.85333333333334,0.0,0.0,68.67962551146408
40.97666666666667,40.64666666666666,0.0,0.0,71.90210794706128
41.45666666666666,38.556666666666665,0.0,0.0,69.44074963324394
41.45666666666666,38.163333333333334,0.0,0.0,68.39859506649921
41.45666666666666,39.29833333333333,0.0,0.0,67.09697187341192
41.42,39.52166666666666,0.0,0.0,72.91214474866717
41.42,38.26,0.0,0.0,69.00749436392312
41.42,38.74583333333333,0.0,0.0,71.27681520701444
41.49999999999999,39.213333333333324,0.0,0.0,69.98173323980133
41.49999999999999,37.99666666666666,0.0,0.0,69.3306793756327
41.49999999999999,38.06333333333333,0.0,0.0,69.33536321638212
41.49999999999999,38.08,0.0,0.0,68.84355993769358
41.49999999999999,38.265,0.0,0.0,67.76393464495355
41.49999999999999,38.54166666666667,0.0,0.0,70.80608921169828
41.45333333333333,39.483333333333334,0.0,0.0,72.78969576907532
41.49833333333333,38.515,0.0,0.0,69.90210794706128
41.085833333333326,39.792500000000004,0.0,0.0,73.34071617723859
41.085833333333326,38.41583333333333,0.0,0.0,69.61639366134699
41.085833333333326,38.16,0.0,0.0,69.41565762922923
41.085833333333326,38.25333333333334,0.0,0.0,69.99110092130016
41.085833333333326,37.24999999999999,0.0,0.0,65.44442979383277
41.085833333333326,37.88916666666667,0.0,0.0,64.63424070971976
41.085833333333326,37.14333333333333,0.0,0.0,66.26744752551562
41.085833333333326,38.16,0.0,0.0,69.82716649507066
41.085833333333326,39.23583333333333,0.0,0.0,68.54914709058754
41.49166666666667,39.681666666666665,0.0,0.0,73.26042176439148
41.49166666666667,37.964999999999996,0.0,0.0,67.46885267774044
41.49166666666667,38.318333333333335,0.0,0.0,69.11288078078493
41.49166666666667,37.61,0.0,0.0,68.18782223277556
41.49166666666667,38.23833333333333,0.0,0.0,66.96857003217798
41.5025,39.6925,0.0,0.0,73.56721333347814
41.5025,39.126666666666665,0.0,0.0,69.08711965666315
41.5025,37.74333333333333,0.0,0.0,69.17142879015262
41.5025,39.156666666666666,0.0,0.0,69.86463722106598
41.5025,38.865833333333335,0.0,0.0,70.2299767995203
41.5025,39.26416666666667,0.0,0.0,68.96533979717837
